game_id,player_id,player_name,period,shot_clock,dribbles,touch_time,shot_distance,shot_value,shot_zone,defender_distance,pressure_level,shot_result,shot_made,points
21400761,203148,brian roberts,1,10.7,0,0.8,19.5,2,Mid-Range,4.7,Open,made,1,2
21400761,203148,brian roberts,1,5.0,2,4.7,22.9,2,Mid-Range,6.8,Very Open,missed,0,0
21400761,203148,brian roberts,1,15.6,0,0.9,24.0,3,Three Point,5.5,Open,made,1,3
21400761,203148,brian roberts,1,10.4,0,1.0,19.5,2,Mid-Range,4.0,Tight,missed,0,0
21400761,203148,brian roberts,1,10.9,0,0.8,23.7,3,Three Point,5.0,Open,missed,0,0
21400761,203148,brian roberts,3,7.4,1,2.4,14.8,2,Mid-Range,3.4,Tight,missed,0,0
21400761,203148,brian roberts,3,15.7,10,8.6,25.0,3,Three Point,5.2,Open,missed,0,0
21400761,203148,brian roberts,3,9.7,0,0.7,22.2,3,Three Point,5.8,Open,missed,0,0
21400761,203148,brian roberts,3,0.3,0,0.4,26.7,3,Three Point,11.6,Very Open,missed,0,0
21400761,203148,brian roberts,4,15.8,11,8.5,19.6,2,Mid-Range,2.7,Tight,missed,0,0
21400761,203148,brian roberts,4,11.7,2,2.2,25.3,3,Three Point,5.6,Open,missed,0,0
21400761,203148,brian roberts,4,20.2,3,3.5,28.0,3,Three Point,5.3,Open,missed,0,0
21400742,203148,brian roberts,1,16.0,0,0.8,24.9,3,Three Point,5.8,Open,missed,0,0
21400742,203148,brian roberts,1,9.4,1,1.5,6.7,2,Paint,2.0,Very Tight,missed,0,0
21400742,203148,brian roberts,1,14.5,0,0.7,24.4,3,Three Point,8.7,Very Open,missed,0,0
21400742,203148,brian roberts,1,5.3,0,0.6,24.1,3,Three Point,9.2,Very Open,missed,0,0
21400742,203148,brian roberts,2,12.1,1,0.8,25.0,3,Three Point,10.6,Very Open,missed,0,0
21400742,203148,brian roberts,2,17.3,1,1.8,26.2,3,Three Point,4.8,Open,missed,0,0
21400742,203148,brian roberts,3,14.5,10,9.2,21.8,2,Mid-Range,4.4,Open,made,1,2
21400742,203148,brian roberts,3,9.9,1,3.2,20.4,2,Mid-Range,4.6,Open,missed,0,0
21400742,203148,brian roberts,3,4.7,1,2.1,24.7,3,Three Point,3.5,Tight,made,1,3
21400742,203148,brian roberts,3,12.3,2,3.6,13.1,2,Mid-Range,2.5,Tight,made,1,2
21400742,203148,brian roberts,4,8.7,3,2.2,24.0,3,Three Point,4.2,Open,missed,0,0
21400742,203148,brian roberts,4,24.0,0,0.0,14.5,2,Mid-Range,10.7,Very Open,made,1,2
21400742,203148,brian roberts,4,3.0,5,4.7,21.7,2,Mid-Range,4.8,Open,made,1,2
21400719,203148,brian roberts,1,22.0,4,3.0,21.2,2,Mid-Range,9.0,Very Open,made,1,2
21400719,203148,brian roberts,1,11.8,0,1.0,20.8,2,Mid-Range,3.9,Tight,missed,0,0
21400719,203148,brian roberts,1,7.5,0,0.6,4.4,2,Paint,2.8,Tight,made,1,2
21400719,203148,brian roberts,2,20.2,0,1.0,24.4,3,Three Point,12.8,Very Open,made,1,3
21400719,203148,brian roberts,2,20.2,4,3.2,26.5,3,Three Point,4.4,Open,missed,0,0
21400719,203148,brian roberts,3,10.5,2,4.9,22.0,2,Mid-Range,8.0,Very Open,missed,0,0
21400719,203148,brian roberts,3,12.3,2,2.4,3.4,2,Paint,1.8,Very Tight,made,1,2
21400719,203148,brian roberts,4,0.8,5,4.2,22.7,2,Mid-Range,4.3,Open,made,1,2
21400719,203148,brian roberts,4,5.2,0,0.8,25.8,3,Three Point,5.7,Open,missed,0,0
21400719,203148,brian roberts,4,14.7,9,8.8,8.0,2,Paint,3.7,Tight,made,1,2
21400713,203148,brian roberts,1,13.7,3,3.9,13.0,2,Mid-Range,3.1,Tight,missed,0,0
21400713,203148,brian roberts,1,19.9,1,1.8,24.4,3,Three Point,9.5,Very Open,missed,0,0
21400713,203148,brian roberts,1,7.2,0,0.8,24.8,3,Three Point,5.7,Open,missed,0,0
21400713,203148,brian roberts,1,20.1,2,2.7,1.5,2,Paint,0.6,Very Tight,missed,0,0
21400713,203148,brian roberts,3,15.8,0,1.0,24.8,3,Three Point,7.8,Very Open,missed,0,0
21400713,203148,brian roberts,3,9.7,0,0.8,20.3,2,Mid-Range,5.4,Open,missed,0,0
21400713,203148,brian roberts,3,16.7,7,5.0,19.6,2,Mid-Range,4.6,Open,missed,0,0
21400689,203148,brian roberts,1,14.6,10,9.7,21.0,2,Mid-Range,6.3,Very Open,missed,0,0
21400689,203148,brian roberts,1,17.6,0,0.8,24.5,3,Three Point,3.8,Tight,missed,0,0
21400689,203148,brian roberts,1,10.3,1,1.2,18.0,2,Mid-Range,5.9,Open,missed,0,0
21400689,203148,brian roberts,3,24.0,0,2.2,4.4,2,Paint,7.0,Very Open,missed,0,0
21400689,203148,brian roberts,3,9.1,0,0.8,25.7,3,Three Point,3.5,Tight,made,1,3
21400689,203148,brian roberts,3,15.1,8,8.4,7.9,2,Paint,2.0,Very Tight,made,1,2
21400689,203148,brian roberts,3,12.4,0,0.7,25.8,3,Three Point,5.1,Open,missed,0,0
21400689,203148,brian roberts,3,17.0,8,6.8,24.6,3,Three Point,3.2,Tight,missed,0,0
21400689,203148,brian roberts,4,21.7,0,1.0,25.0,3,Three Point,4.4,Open,missed,0,0
21400689,203148,brian roberts,4,7.1,0,0.8,22.7,3,Three Point,3.2,Tight,made,1,3
21400689,203148,brian roberts,4,12.0,0,1.7,23.9,3,Three Point,11.0,Very Open,missed,0,0
21400652,203148,brian roberts,1,16.0,0,0.7,19.2,2,Mid-Range,6.3,Very Open,missed,0,0
21400652,203148,brian roberts,1,16.7,5,5.5,21.0,2,Mid-Range,4.1,Open,made,1,2
21400652,203148,brian roberts,2,6.2,1,2.4,24.5,3,Three Point,5.9,Open,made,1,3
21400652,203148,brian roberts,2,13.3,4,3.9,20.8,2,Mid-Range,7.0,Very Open,missed,0,0
21400652,203148,brian roberts,3,11.7,0,0.9,19.0,2,Mid-Range,5.3,Open,made,1,2
21400652,203148,brian roberts,3,6.6,2,3.2,19.3,2,Mid-Range,3.7,Tight,made,1,2
21400652,203148,brian roberts,4,14.5,12,8.7,11.0,2,Mid-Range,0.8,Very Tight,missed,0,0
21400652,203148,brian roberts,4,20.2,0,0.9,24.6,3,Three Point,13.0,Very Open,missed,0,0
21400652,203148,brian roberts,4,4.7,5,5.5,17.8,2,Mid-Range,5.0,Open,made,1,2
21400643,203148,brian roberts,2,9.8,0,0.9,24.7,3,Three Point,7.9,Very Open,missed,0,0
21400643,203148,brian roberts,3,15.1,0,0.8,22.7,3,Three Point,8.7,Very Open,made,1,3
21400643,203148,brian roberts,3,10.0,2,5.2,18.1,2,Mid-Range,3.3,Tight,missed,0,0
21400643,203148,brian roberts,4,15.8,0,1.3,24.8,3,Three Point,8.1,Very Open,missed,0,0
21400625,203148,brian roberts,2,5.5,0,0.7,25.1,3,Three Point,7.8,Very Open,made,1,3
21400625,203148,brian roberts,4,24.0,0,6.3,2.7,2,Paint,3.3,Tight,missed,0,0
21400611,203148,brian roberts,1,16.2,8,7.6,20.5,2,Mid-Range,2.9,Tight,made,1,2
21400611,203148,brian roberts,1,12.9,0,0.8,18.3,2,Mid-Range,5.1,Open,made,1,2
21400611,203148,brian roberts,1,2.0,4,2.9,6.7,2,Paint,0.8,Very Tight,missed,0,0
21400611,203148,brian roberts,1,13.5,0,1.0,21.6,2,Mid-Range,12.2,Very Open,missed,0,0
21400611,203148,brian roberts,2,6.2,0,1.0,22.8,3,Three Point,9.3,Very Open,missed,0,0
21400611,203148,brian roberts,2,16.9,3,1.6,24.7,3,Three Point,6.3,Very Open,missed,0,0
21400611,203148,brian roberts,2,12.3,5,5.0,12.0,2,Mid-Range,4.0,Tight,missed,0,0
21400611,203148,brian roberts,3,13.3,3,2.2,24.9,3,Three Point,7.8,Very Open,made,1,3
21400611,203148,brian roberts,3,7.0,4,3.6,5.3,2,Paint,2.6,Tight,made,1,2
21400611,203148,brian roberts,3,13.3,8,6.4,20.5,2,Mid-Range,6.2,Very Open,made,1,2
21400611,203148,brian roberts,3,13.4,1,0.9,24.0,3,Three Point,5.3,Open,made,1,3
21400611,203148,brian roberts,3,12.3,2,2.3,17.9,2,Mid-Range,2.7,Tight,missed,0,0
21400600,203148,brian roberts,1,19.7,0,1.1,4.2,2,Paint,1.6,Very Tight,missed,0,0
21400600,203148,brian roberts,1,15.0,11,10.0,19.4,2,Mid-Range,2.4,Tight,missed,0,0
21400600,203148,brian roberts,1,10.6,0,0.4,17.7,2,Mid-Range,5.8,Open,missed,0,0
21400600,203148,brian roberts,1,18.2,4,6.2,16.1,2,Mid-Range,4.5,Open,missed,0,0
21400600,203148,brian roberts,2,11.8,1,2.0,19.4,2,Mid-Range,3.2,Tight,missed,0,0
21400600,203148,brian roberts,2,23.0,0,0.7,22.3,2,Mid-Range,13.0,Very Open,made,1,2
21400600,203148,brian roberts,2,12.3,2,1.7,10.4,2,Mid-Range,2.7,Tight,made,1,2
21400600,203148,brian roberts,3,16.2,2,2.3,19.5,2,Mid-Range,4.0,Tight,missed,0,0
21400600,203148,brian roberts,3,4.0,0,0.8,4.7,2,Paint,3.6,Tight,missed,0,0
21400600,203148,brian roberts,3,17.8,7,5.9,12.6,2,Mid-Range,2.7,Tight,missed,0,0
21400600,203148,brian roberts,3,12.3,6,4.6,18.3,2,Mid-Range,2.2,Very Tight,missed,0,0
21400600,203148,brian roberts,5,9.7,14,12.7,8.1,2,Mid-Range,0.9,Very Tight,missed,0,0
21400574,203148,brian roberts,1,11.8,0,0.0,23.2,2,Mid-Range,4.0,Tight,made,1,2
21400574,203148,brian roberts,2,20.3,4,3.2,24.2,3,Three Point,5.5,Open,missed,0,0
21400574,203148,brian roberts,2,10.0,0,0.9,5.6,2,Paint,2.7,Tight,made,1,2
21400574,203148,brian roberts,4,5.8,2,2.0,19.2,2,Mid-Range,3.2,Tight,missed,0,0
21400549,203148,brian roberts,1,20.3,1,1.7,24.3,3,Three Point,11.3,Very Open,missed,0,0
21400549,203148,brian roberts,2,16.9,4,4.2,15.0,2,Mid-Range,2.6,Tight,missed,0,0
21400549,203148,brian roberts,2,2.9,1,1.6,24.2,3,Three Point,3.8,Tight,missed,0,0
21400549,203148,brian roberts,2,8.7,2,2.8,7.4,2,Paint,3.1,Tight,made,1,2
21400549,203148,brian roberts,4,6.5,2,2.4,20.4,2,Mid-Range,7.8,Very Open,made,1,2
21400549,203148,brian roberts,4,15.3,4,5.2,21.5,2,Mid-Range,5.5,Open,made,1,2
21400549,203148,brian roberts,4,7.9,1,1.8,21.7,2,Mid-Range,4.6,Open,made,1,2
21400549,203148,brian roberts,4,12.8,2,2.6,18.5,2,Mid-Range,5.1,Open,made,1,2
21400535,203148,brian roberts,2,11.0,1,1.0,26.1,3,Three Point,4.5,Open,missed,0,0
21400535,203148,brian roberts,2,21.1,1,1.7,3.1,2,Paint,16.3,Very Open,made,1,2
21400535,203148,brian roberts,2,13.6,0,0.8,19.3,2,Mid-Range,7.2,Very Open,made,1,2
21400535,203148,brian roberts,2,6.1,3,5.1,21.5,2,Mid-Range,3.5,Tight,missed,0,0
21400535,203148,brian roberts,4,7.3,0,0.7,25.2,3,Three Point,4.2,Open,missed,0,0
21400522,203148,brian roberts,1,1.0,1,3.6,11.4,2,Mid-Range,1.8,Very Tight,made,1,2
21400522,203148,brian roberts,2,16.0,8,7.4,17.6,2,Mid-Range,1.9,Very Tight,missed,0,0
21400522,203148,brian roberts,2,11.4,2,3.6,24.3,3,Three Point,4.8,Open,made,1,3
21400522,203148,brian roberts,4,9.8,0,0.9,24.8,3,Three Point,4.9,Open,made,1,3
21400522,203148,brian roberts,4,15.4,11,8.9,25.2,3,Three Point,4.0,Tight,missed,0,0
21400510,203148,brian roberts,2,6.5,2,3.4,19.3,2,Mid-Range,4.4,Open,missed,0,0
21400510,203148,brian roberts,4,1.7,0,0.7,24.7,3,Three Point,5.1,Open,made,1,3
21400495,203148,brian roberts,2,18.7,0,0.8,22.6,3,Three Point,6.9,Very Open,missed,0,0
21400495,203148,brian roberts,4,9.6,2,4.7,9.1,2,Mid-Range,3.0,Tight,missed,0,0
21400495,203148,brian roberts,4,13.1,1,1.8,17.0,2,Mid-Range,9.0,Very Open,made,1,2
21400495,203148,brian roberts,4,5.3,9,8.7,11.4,2,Mid-Range,2.7,Tight,missed,0,0
21400484,203148,brian roberts,2,13.9,10,9.8,26.0,3,Three Point,5.4,Open,missed,0,0
21400484,203148,brian roberts,2,14.0,11,8.4,18.0,2,Mid-Range,4.0,Tight,made,1,2
21400484,203148,brian roberts,2,7.6,1,2.3,21.0,2,Mid-Range,5.0,Open,made,1,2
21400478,203148,brian roberts,2,9.3,0,0.8,22.0,3,Three Point,8.9,Very Open,made,1,3
21400478,203148,brian roberts,4,14.3,10,10.2,13.4,2,Mid-Range,3.2,Tight,missed,0,0
21400478,203148,brian roberts,4,0.3,3,6.1,21.5,2,Mid-Range,2.5,Tight,missed,0,0
21400478,203148,brian roberts,4,16.2,7,6.1,19.2,2,Mid-Range,4.8,Open,missed,0,0
21400478,203148,brian roberts,4,14.7,0,0.7,22.5,3,Three Point,3.4,Tight,missed,0,0
21400478,203148,brian roberts,4,13.5,9,7.6,21.7,2,Mid-Range,8.9,Very Open,missed,0,0
21400478,203148,brian roberts,4,12.3,3,3.3,27.1,3,Three Point,5.6,Open,missed,0,0
21400459,203148,brian roberts,2,16.9,8,6.9,19.2,2,Mid-Range,2.7,Tight,made,1,2
21400459,203148,brian roberts,2,20.5,0,1.2,25.3,3,Three Point,7.3,Very Open,missed,0,0
21400459,203148,brian roberts,2,4.8,1,3.0,15.8,2,Mid-Range,2.5,Tight,made,1,2
21400459,203148,brian roberts,4,4.3,1,2.1,23.8,3,Three Point,5.3,Open,made,1,3
21400459,203148,brian roberts,4,17.6,0,0.8,23.8,3,Three Point,5.5,Open,missed,0,0
21400459,203148,brian roberts,5,13.7,3,2.3,6.4,2,Paint,1.8,Very Tight,missed,0,0
21400459,203148,brian roberts,5,21.1,0,0.8,24.7,3,Three Point,0.0,Very Tight,missed,0,0
21400444,203148,brian roberts,2,13.8,9,9.3,23.9,3,Three Point,5.3,Open,made,1,3
21400444,203148,brian roberts,2,12.5,0,0.8,23.2,3,Three Point,5.5,Open,missed,0,0
21400444,203148,brian roberts,2,14.6,11,9.2,19.7,2,Mid-Range,4.5,Open,missed,0,0
21400438,203148,brian roberts,1,16.3,8,6.5,24.8,3,Three Point,9.3,Very Open,made,1,3
21400438,203148,brian roberts,2,13.6,7,5.0,25.1,3,Three Point,5.9,Open,made,1,3
21400438,203148,brian roberts,2,11.8,12,13.5,12.9,2,Mid-Range,4.3,Open,missed,0,0
21400438,203148,brian roberts,4,9.4,1,1.3,16.5,2,Mid-Range,2.6,Tight,made,1,2
21400438,203148,brian roberts,4,9.3,1,1.5,23.0,2,Mid-Range,2.9,Tight,missed,0,0
21400438,203148,brian roberts,4,18.9,0,2.2,24.9,3,Three Point,16.4,Very Open,made,1,3
21400438,203148,brian roberts,4,22.5,0,0.9,24.3,3,Three Point,7.6,Very Open,missed,0,0
21400438,203148,brian roberts,4,20.7,0,1.0,25.3,3,Three Point,6.3,Very Open,missed,0,0
21400438,203148,brian roberts,4,9.0,3,4.9,5.2,2,Paint,1.1,Very Tight,made,1,2
21400423,203148,brian roberts,1,12.3,2,1.4,32.9,3,Three Point,4.1,Open,missed,0,0
21400423,203148,brian roberts,2,14.4,3,3.0,20.5,2,Mid-Range,5.3,Open,made,1,2
21400423,203148,brian roberts,2,18.5,7,5.8,2.0,2,Paint,2.1,Very Tight,missed,0,0
21400423,203148,brian roberts,4,14.5,11,9.1,22.2,2,Mid-Range,2.2,Very Tight,missed,0,0
21400423,203148,brian roberts,4,13.7,0,0.0,29.2,3,Three Point,9.5,Very Open,missed,0,0
21400409,203148,brian roberts,2,13.5,12,8.5,21.3,2,Mid-Range,4.6,Open,made,1,2
21400409,203148,brian roberts,2,16.3,7,6.5,10.5,2,Mid-Range,1.6,Very Tight,missed,0,0
21400409,203148,brian roberts,2,12.0,0,11.2,13.8,2,Mid-Range,4.0,Tight,missed,0,0
21400409,203148,brian roberts,4,18.8,6,4.2,0.9,2,Paint,3.6,Tight,made,1,2
21400409,203148,brian roberts,4,20.4,3,3.5,26.4,3,Three Point,4.8,Open,made,1,3
21400395,203148,brian roberts,2,9.0,0,0.7,24.3,3,Three Point,5.2,Open,made,1,3
21400395,203148,brian roberts,2,17.4,5,6.3,16.4,2,Mid-Range,3.2,Tight,missed,0,0
21400395,203148,brian roberts,3,13.0,10,11.2,15.4,2,Mid-Range,1.8,Very Tight,made,1,2
21400395,203148,brian roberts,4,7.7,0,0.8,21.8,3,Three Point,5.5,Open,missed,0,0
21400384,203148,brian roberts,2,15.9,9,8.6,21.2,2,Mid-Range,4.2,Open,missed,0,0
21400384,203148,brian roberts,2,12.8,0,0.8,23.9,3,Three Point,6.4,Very Open,made,1,3
21400384,203148,brian roberts,4,20.5,4,5.0,3.9,2,Paint,2.8,Tight,missed,0,0
21400369,203148,brian roberts,2,5.8,4,3.6,25.2,3,Three Point,10.0,Very Open,missed,0,0
21400369,203148,brian roberts,2,2.6,0,0.8,24.1,3,Three Point,5.2,Open,made,1,3
21400369,203148,brian roberts,2,10.0,1,2.3,16.9,2,Mid-Range,2.4,Tight,missed,0,0
21400369,203148,brian roberts,4,21.7,0,0.9,23.8,3,Three Point,13.1,Very Open,made,1,3
21400369,203148,brian roberts,4,15.7,12,8.3,26.3,3,Three Point,5.5,Open,missed,0,0
21400355,203148,brian roberts,2,14.8,10,9.5,17.2,2,Mid-Range,7.1,Very Open,made,1,2
21400355,203148,brian roberts,2,4.1,3,6.0,22.6,2,Mid-Range,4.2,Open,missed,0,0
21400355,203148,brian roberts,2,19.7,0,0.9,25.0,3,Three Point,7.5,Very Open,made,1,3
21400355,203148,brian roberts,4,8.1,0,0.8,24.3,3,Three Point,4.4,Open,missed,0,0
21400355,203148,brian roberts,4,1.3,1,2.7,9.3,2,Mid-Range,2.4,Tight,made,1,2
21400355,203148,brian roberts,4,14.5,9,7.6,20.4,2,Mid-Range,2.6,Tight,missed,0,0
21400341,203148,brian roberts,1,1.9,0,2.0,26.0,3,Three Point,2.8,Tight,made,1,3
21400341,203148,brian roberts,2,9.2,2,1.8,14.6,2,Mid-Range,2.9,Tight,missed,0,0
21400341,203148,brian roberts,2,16.5,9,8.0,25.0,3,Three Point,6.1,Very Open,made,1,3
21400341,203148,brian roberts,4,14.7,0,1.1,23.6,3,Three Point,6.7,Very Open,missed,0,0
21400341,203148,brian roberts,4,16.9,9,6.8,23.8,3,Three Point,6.0,Open,made,1,3
21400341,203148,brian roberts,4,15.5,1,1.7,20.3,2,Mid-Range,3.9,Tight,made,1,2
21400341,203148,brian roberts,4,15.2,13,8.5,20.7,2,Mid-Range,3.4,Tight,made,1,2
21400334,203148,brian roberts,2,11.2,0,0.7,24.7,3,Three Point,2.6,Tight,missed,0,0
21400334,203148,brian roberts,4,16.0,11,10.3,21.7,2,Mid-Range,5.8,Open,missed,0,0
21400316,203148,brian roberts,2,15.6,9,7.6,6.3,2,Paint,1.6,Very Tight,missed,0,0
21400316,203148,brian roberts,2,16.0,8,7.3,8.1,2,Mid-Range,2.5,Tight,made,1,2
21400316,203148,brian roberts,2,18.0,6,4.8,25.1,3,Three Point,4.1,Open,missed,0,0
21400316,203148,brian roberts,4,13.0,1,1.6,18.4,2,Mid-Range,3.9,Tight,made,1,2
21400276,203148,brian roberts,2,6.1,0,0.8,24.2,3,Three Point,4.1,Open,missed,0,0
21400276,203148,brian roberts,2,11.4,2,2.5,11.2,2,Mid-Range,2.2,Very Tight,made,1,2
21400263,203148,brian roberts,1,12.3,4,3.4,41.6,3,Three Point,6.0,Open,missed,0,0
21400263,203148,brian roberts,2,11.4,2,2.2,13.5,2,Mid-Range,2.5,Tight,missed,0,0
21400263,203148,brian roberts,2,11.4,11,12.6,12.9,2,Mid-Range,3.4,Tight,missed,0,0
21400263,203148,brian roberts,2,12.3,20,16.5,4.9,2,Paint,3.5,Tight,missed,0,0
21400263,203148,brian roberts,4,13.2,1,1.5,10.8,2,Mid-Range,5.7,Open,missed,0,0
21400263,203148,brian roberts,4,15.3,0,1.1,24.5,3,Three Point,5.2,Open,missed,0,0
21400263,203148,brian roberts,4,6.0,0,0.9,22.1,3,Three Point,6.7,Very Open,made,1,3
21400263,203148,brian roberts,4,14.8,12,8.3,12.1,2,Mid-Range,4.4,Open,missed,0,0
21400237,203148,brian roberts,1,13.5,13,10.6,12.1,2,Mid-Range,2.2,Very Tight,missed,0,0
21400237,203148,brian roberts,2,12.9,1,1.8,15.8,2,Mid-Range,4.7,Open,missed,0,0
21400237,203148,brian roberts,2,12.0,6,5.1,13.7,2,Mid-Range,3.5,Tight,missed,0,0
21400237,203148,brian roberts,2,13.6,0,0.8,25.3,3,Three Point,3.7,Tight,missed,0,0
21400237,203148,brian roberts,3,10.0,0,0.9,22.8,3,Three Point,2.7,Tight,missed,0,0
21400237,203148,brian roberts,3,15.8,6,5.4,18.3,2,Mid-Range,5.3,Open,missed,0,0
21400224,203148,brian roberts,1,12.7,3,3.2,9.3,2,Mid-Range,3.3,Tight,made,1,2
21400224,203148,brian roberts,1,12.0,2,1.5,3.8,2,Paint,2.1,Very Tight,made,1,2
21400224,203148,brian roberts,2,13.6,0,0.7,20.0,2,Mid-Range,3.5,Tight,made,1,2
21400224,203148,brian roberts,2,17.9,5,4.7,25.6,3,Three Point,5.7,Open,made,1,3
21400224,203148,brian roberts,2,8.3,1,0.9,24.3,3,Three Point,5.7,Open,made,1,3
21400224,203148,brian roberts,3,11.9,3,2.6,3.5,2,Paint,1.7,Very Tight,made,1,2
21400224,203148,brian roberts,4,15.1,2,3.6,20.4,2,Mid-Range,4.1,Open,made,1,2
21400224,203148,brian roberts,4,17.4,1,1.3,24.7,3,Three Point,6.3,Very Open,missed,0,0
